,num_reads
PTP4A1,211.0
RP5-1148A21.3,6.0
PHF3,419.0
EYS,5.0
LMBRD1,210.0
FAM135A,21.0
SDHAF4,55.0
RP11-134K13.4,0.0
SMAP1,244.0
B3GAT2,146.0
OGFRL1,8.0
KCNQ5,4.0
KHDC1,2.0
RP11-398K22.12,47.0
DDX43,5.0
MB21D1,35.0
MTO1,182.0
EEF1A1,121652.0
SLC17A5,98.0
CD109,4.0
COX7A2,2254.0
TMEM30A,254.0
RP1-234P15.4,5.0
FILIP1,25.0
SENP6,313.0
MYO6,7.0
IRAK1BP1,15.0
PHIP,510.0
HMGN3,664.0
HMGN3-AS1,3.0
ELOVL4,5.0
BCKDHB,54.0
RP11-250B2.6,3.0
FAM46A,71.0
IBTK,154.0
UBE3D,68.0
DOPEY1,18.0
PGM3,61.0
RWDD2A,30.0
CYB5R4,115.0
CEP162,74.0
NT5E,3.0
SNX14,131.0
SYNCRIP,280.0
RP11-393I2.4,8.0
ZNF292,405.0
GJB7,2.0
SMIM8,141.0
SLC35A1,137.0
RARS2,132.0
ORC3,109.0
AKIRIN2,171.0
RNGTT,103.0
PNRC1,2951.0
SRSF12,3.0
PM20D2,67.0
UBE2J1,193.0
RRAGD,21.0
ANKRD6,5.0
LYRM2,293.0
MDN1,71.0
CASP8AP2,251.0
BACH2,142.0
RP1-45N11.1,3.0
MAP3K7,168.0
MANEA-AS1,140.0
MANEA,41.0
UFL1,278.0
GPR63,5.0
NDUFAF4,259.0
KLHL32,8.0
MMS22L,65.0
FBXL4,63.0
FAXC,3.0
COQ3,18.0
PNISR,3514.0
RP11-98I9.4,10.0
USP45,21.0
TSTD3,19.0
CCNC,293.0
ASCC3,101.0
RP3-467N11.1,12.0
HACE1,12.0
PREP,76.0
PRDM1,26.0
ATG5,178.0
AIM1,120.0
RTN4IP1,14.0
QRSL1,82.0
CD24,2.0
C6orf203,167.0
PDSS2,44.0
SCML4,332.0
SEC63,358.0
RP1-191J18.66,3.0
OSTM1,178.0
SNX3,1223.0
LACE1,13.0
FOXO3,210.0
ARMC2,16.0
SESN1,146.0
CEP57L1,23.0
CD164,924.0
RP11-425D10.10,3.0
PPIL6,4.0
SMPD2,38.0
MICAL1,37.0
ZBTB24,89.0
AK9,95.0
FIG4,37.0
WASF1,4.0
CDC40,426.0
CDK19,61.0
AMD1,431.0
GTF3C6,382.0
RPF2,212.0
SLC16A10,81.0
KIAA1919,72.0
RP5-1112D6.4,14.0
RP5-1112D6.7,16.0
REV3L,249.0
RP5-1112D6.8,13.0
TRAF3IP2-AS1,24.0
TRAF3IP2,72.0
C6orf3,7.0
FYN,588.0
TUBE1,128.0
FAM229B,36.0
HDAC2,339.0
RP3-399L15.3,3.0
NT5DC1,246.0
TSPYL4,35.0
DSE,18.0
TSPYL1,478.0
FAM26F,34.0
RWDD1,1160.0
ZUFSP,39.0
KPNA5,132.0
DCBLD1,97.0
GOPC,225.0
NUS1,149.0
CEP85L,190.0
MCM9,70.0
ASF1A,602.0
FAM184A,33.0
MAN1A1,15.0
TBC1D32,18.0
HSF2,164.0
SERINC1,362.0
HDDC2,491.0
NCOA7,307.0
HINT3,102.0
TRMT11,107.0
CENPW,13.0
RNF146,123.0
ECHDC1,272.0
RP3-403A15.5,2.0
KIAA0408,2.0
THEMIS,226.0
PTPRK,4.0
ARHGAP18,22.0
L3MBTL3,106.0
RP11-73O6.3,6.0
SAMD3,139.0
EPB41L2,41.0
AKAP7,144.0
MED23,99.0
STX7,118.0
VNN2,84.0
RP1-55C23.7,4.0
SLC18B1,68.0
RPS12,88920.0
TBPL1,211.0
SGK1,15.0
ALDH8A1,2.0
HBS1L,248.0
MYB,42.0
AHI1,98.0
LINC00271,4.0
PDE7B,8.0
RP13-143G15.4,4.0
MTFR2,7.0
BCLAF1,631.0
MAP7,5.0
RP3-325F22.5,19.0
MAP3K5,23.0
PEX7,33.0
IFNGR1,160.0
RP11-356I2.4,92.0
TNFAIP3,95.0
PERP,24.0
HEBP2,194.0
GVQW2,3.0
CCDC28A,283.0
REPS1,113.0
ABRACL,1589.0
HECA,191.0
RP1-225E12.2,3.0
TXLNB,7.0
CITED2,478.0
VTA1,125.0
HIVEP2,115.0
RP1-67K17.4,5.0
RP11-439L18.1,7.0
LINC01277,2.0
RP1-45I4.3,3.0
AIG1,98.0
ADAT2,32.0
PEX3,91.0
FUCA2,37.0
PHACTR2,131.0
LTV1,130.0
PLAGL1,13.0
SF3B5,841.0
STX11,20.0
UTRN,185.0
EPM2A,9.0
FBXO30,21.0
RP11-545I5.3,9.0
SHPRH,185.0
STXBP5-AS1,7.0
STXBP5,32.0
TAB2,108.0
SUMO4,13.0
ZC3H12D,48.0
PPIL4,243.0
GINM1,143.0
RP1-12G14.7,8.0
KATNA1,102.0
LATS1,82.0
AL358852.1,4.0
NUP43,137.0
PCMT1,461.0
RP11-350J20.5,10.0
LRP11,9.0
IYD,3.0
MTHFD1L,46.0
RP1-292B18.3,3.0
ZBTB2,142.0
RMND1,74.0
ARMT1,136.0
ESR1,3.0
SYNE1,313.0
FBXO5,31.0
MTRF1L,86.0
RGS17,6.0
IPCEF1,249.0
CNKSR3,12.0
SCAF8,75.0
TIAM2,27.0
RP11-477D19.2,13.0
TFB1M,105.0
ARID1B,144.0
TMEM242,119.0
ZDHHC14,10.0
SNX9,190.0
SYNJ2,28.0
SERAC1,22.0
GTF2H5,481.0
TULP4,127.0
TMEM181,54.0
DYNLT1,359.0
SYTL3,91.0
EZR,593.0
C6orf99,2.0
RSPH3,22.0
TAGAP,332.0
RP11-13P5.1,2.0
SOD2,245.0
WTAP,694.0
ACAT2,264.0
TCP1,554.0
MRPL18,561.0
MAS1,8.0
IGF2R,81.0
RP3-428L16.2,4.0
MAP3K4,59.0
AGPAT4,8.0
PARK2,2.0
CAHM,11.0
QKI,78.0
SFT2D1,324.0
MPC1,344.0
RP1-168L15.5,11.0
RPS6KA2,44.0
RP11-514O12.4,5.0
RNASET2,1602.0
RP1-167A14.2,2.0
FGFR1OP,50.0
CCR6,14.0
MLLT4,7.0
WDR27,31.0
C6orf120,56.0
PHF10,97.0
TCTE3,27.0
ERMARD,24.0
RP5-894D12.5,4.0
LINC01624,19.0
DLL1,10.0
FAM120B,47.0
PSMB1,1189.0
TBP,84.0
PDCD2,593.0
AC093627.9,10.0
AC093627.10,10.0
PRKAR1B,80.0
AC147651.4,31.0
DNAAF5,25.0
SUN1,237.0
GET4,2.0
RP11-449P15.2,9.0
ADAP1,14.0
COX19,376.0
CYP2W1,2.0
C7orf50,351.0
GPR146,68.0
ZFAND2A,90.0
AC091729.9,24.0
MICALL2,4.0
RP11-1246C19.1,16.0
INTS1,56.0
MAFK,28.0
PSMG3,199.0
PSMG3-AS1,28.0
MAD1L1,351.0
FTSJ2,118.0
NUDT1,221.0
SNX8,12.0
EIF3B,216.0
CHST12,313.0
LFNG,28.0
BRAT1,106.0
IQCE,14.0
TTYH3,5.0
GNA12,14.0
CARD11,60.0
FOXK1,210.0
AP5Z1,111.0
RBAK-RBAKDN,106.0
RBAK,31.0
WIPI2,411.0
SLC29A4,2.0
TNRC18,22.0
FBXL18,37.0
ACTB,12380.0
RNF216,404.0
OCM,19.0
CCZ1,309.0
PMS2,67.0
AIMP2,67.0
EIF2AK1,258.0
USP42,71.0
CYTH3,7.0
FAM220A,30.0
RAC1,1066.0
DAGLB,50.0
KDELR2,398.0
ZDHHC4,159.0
C7orf26,141.0
ZNF853,8.0
ZNF316,29.0
ZNF12,108.0
CCZ1B,75.0
C1GALT1,173.0
RP5-1159O4.1,8.0
MIOS,33.0
RPA3,316.0
UMAD1,98.0
AC009473.1,3.0
GLCCI1,62.0
ICA1,9.0
NDUFA4,2049.0
PHF14,468.0
TMEM106B,379.0
VWDE,6.0
SCIN,7.0
ARL4A,60.0
ISPD,6.0
ANKMY2,54.0
BZW2,206.0
AC003075.4,51.0
AHR,44.0
SNX13,66.0
HDAC9,1.0
TWISTNB,153.0
MACC1,5.0
SP4,98.0
DNAH11,1.0
CDCA7L,106.0
TOMM7,13173.0
FAM126A,37.0
KLHL7,102.0
NUPL2,130.0
AC005082.12,6.0
GPNMB,6.0
MALSU1,255.0
TRA2A,445.0
CCDC126,76.0
FAM221A,42.0
MPP6,78.0
OSBPL3,19.0
CYCS,789.0
C7orf31,39.0
NFE2L3,16.0
CTB-119C2.1,4.0
HNRNPA2B1,2572.0
CBX3,863.0
SNX10,31.0
SKAP2,24.0
HOTAIRM1,53.0
HIBADH,93.0
TAX1BP1,942.0
JAZF1,25.0
CHN2,4.0
SCRN1,3.0
FKBP14,20.0
PLEKHA8,41.0
MTURN,26.0
ZNRF2,25.0
LINC01176,8.0
NOD1,16.0
GS1-114I9.1,3.0
GGCT,126.0
GARS,427.0
INMT,3.0
LSM5,1009.0
AVL9,145.0
RP11-225B17.2,2.0
KBTBD2,43.0
FKBP9,1.0
NT5C3A,291.0
RP9,124.0
BBS9,32.0
DPY19L1,3.0
HERPUD2,226.0
RP11-379H18.1,24.0
SEPT7-AS1,3.0
SEPT7,1513.0
EEPD1,8.0
KIAA0895,2.0
AOAH,20.0
ELMO1,359.0
STARD3NL,89.0
TRGC2,147.0
TRGC1,19.0
TRGV10,3.0
TRG-AS1,160.0
TRGV5,68.0
AMPH,5.0
VPS41,94.0
YAE1D1,81.0
RALA,269.0
LINC00265,3.0
RP11-467D6.1,12.0
CDK13,176.0
MPLKIP,470.0
SUGCT,6.0
INHBA-AS1,4.0
C7orf25,6.0
PSMA2,692.0
MRPL32,364.0
STK17A,1320.0
COA1,336.0
BLVRA,69.0
MRPS24,29.0
URGCP,180.0
UBE2D4,105.0
AC004951.6,305.0
LINC00957,34.0
DBNL,450.0
POLM,229.0
AEBP1,26.0
POLD2,191.0
GCK,4.0
YKT6,57.0
NUDCD3,220.0
DDX56,208.0
TMED4,530.0
OGDH,82.0
ZMIZ2,44.0
PPIA,3629.0
H2AFV,890.0
AC004854.4,3.0
PURB,81.0
MYO1G,157.0
SNHG15,197.0
CCM2,621.0
TBRG4,152.0
ADCY1,3.0
IGFBP3,24.0
AC073115.7,11.0
HUS1,96.0
SUN3,6.0
UPP1,178.0
IKZF1,689.0
FIGNL1,61.0
GRB10,5.0
SEC61G,1153.0
LANCL2,16.0
VOPP1,282.0
ZNF713,10.0
GBAS,153.0
MRPS17,102.0
PSPH,30.0
CCT6A,562.0
SUMF2,567.0
PHKG1,183.0
CHCHD2,2476.0
NUPR2,2.0
RP11-340I6.8,2.0
ZNF736,23.0
ZNF680,114.0
ZNF107,67.0
ZNF138,101.0
ZNF273,32.0
ZNF117,8.0
ERV3-1,204.0
ZNF92,125.0
RP11-479O9.4,4.0
VKORC1L1,38.0
GUSB,130.0
ASL,36.0
CRCP,111.0
TPST1,7.0
LINC00174,8.0
GS1-124K5.3,39.0
GS1-124K5.4,63.0
GS1-124K5.11,64.0
KCTD7,66.0
RABGEF1,38.0
RP11-792A8.4,116.0
RP11-458F8.4,4.0
TMEM248,352.0
SBDS,1043.0
TYW1,40.0
RP11-166O4.6,47.0
LINC01372,5.0
AUTS2,12.0
CALN1,3.0
TYW1B,19.0
POM121,111.0
RP11-313P13.5,9.0
NSUN5,337.0
BAZ1B,288.0
BCL7B,282.0
TBL2,64.0
MLXIPL,8.0
DNAJC30,213.0
WBSCR22,395.0
STX1A,4.0
ABHD11,87.0
WBSCR27,6.0
LIMK1,17.0
EIF4H,699.0
LAT2,7.0
RFC2,76.0
CLIP2,6.0
GTF2IRD1,15.0
GTF2I,358.0
NCF1,350.0
GTF2IRD2,190.0
GATSL2,1.0
WBSCR16,106.0
GTF2IRD2B,91.0
TRIM73,65.0
POM121C,116.0
SPDYE5,6.0
HIP1,21.0
RHBDD2,244.0
POR,115.0
TMEM120A,66.0
STYXL1,65.0
MDH2,632.0
HSPB1,775.0
YWHAG,100.0
SSC4D,3.0
ZP3,46.0
DTX2,49.0
SPDYE16,11.0
POMZP3,48.0
CCDC146,38.0
FGL2,3.0
GSAP,16.0
PTPN12,46.0
APTR,46.0
RSBN1L,604.0
TMEM60,270.0
PHTF2,48.0
GNAI1,13.0
SEMA3A,3.0
AC074183.4,24.0
GRM3,3.0
KIAA1324L,15.0
AC005076.5,9.0
DMTF1,145.0
TMEM243,845.0
TP53TG1,264.0
CROT,49.0
ABCB1,26.0
RUNDC3B,6.0
SLC25A40,51.0
DBF4,147.0
ADAM22,4.0
SRI,462.0
STEAP4,3.0
GTPBP10,100.0
CLDN12,3.0
FZD1,4.0
MTERF1,108.0
AKAP9,918.0
CYP51A1,11.0
LRRD1,4.0
KRIT1,172.0
ANKIB1,96.0
GATAD1,139.0
ERVW-1,0.0
PEX1,91.0
RBM48,164.0
FAM133B,659.0
CDK6,77.0
SAMD9,309.0
SAMD9L,90.0
VPS50,38.0
BET1,141.0
CASD1,32.0
PON2,9.0
SLC25A13,20.0
SHFM1,912.0
SDHAF3,224.0
ASNS,121.0
LMTK2,22.0
TECPR1,240.0
BRI3,431.0
BAIAP2L1,4.0
TRRAP,52.0
AC004893.11,16.0
SMURF1,14.0
ARPC1A,246.0
ARPC1B,1187.0
PDAP1,612.0
BUD31,508.0
PTCD1,27.0
ATP5J2-PTCD1,1.0
CPSF4,142.0
ATP5J2,1291.0
ZNF789,38.0
ZNF394,237.0
ZKSCAN5,32.0
FAM200A,68.0
ZNF655,268.0
ZSCAN25,38.0
CYP3A5,96.0
CYP3A43,2.0
TRIM4,416.0
GJC3,7.0
ZKSCAN1,295.0
ZSCAN21,50.0
ZNF3,172.0
COPS6,530.0
MCM7,155.0
AP4M1,35.0
TAF6,163.0
CNPY4,106.0
MBLAC1,20.0
LAMTOR4,1517.0
C7orf43,53.0
GAL3ST4,59.0
GPC2,84.0
STAG3,61.0
GATS,19.0
PVRIG,12.0
SPDYE3,18.0
PILRB,203.0
PILRA,5.0
ZCWPW1,99.0
MEPCE,92.0
PPP1R35,142.0
RP11-758P17.3,4.0
C7orf61,4.0
TSC22D4,703.0
NYAP1,3.0
AGFG2,49.0
SAP25,97.0
LRCH4,427.0
FBXO24,4.0
PCOLCE,6.0
MOSPD3,99.0
TFR2,13.0
GNB2,469.0
GIGYF1,233.0
POP7,242.0
EPHB4,3.0
SLC12A9,99.0
RP11-126L15.4,4.0
TRIP6,16.0
SRRT,256.0
UFSP1,8.0
RP11-395B7.4,7.0
TRIM56,693.0
AP1S1,109.0
PLOD3,67.0
ZNHIT1,504.0
CLDN15,103.0
FIS1,675.0
IFT22,37.0
CUX1,115.0
PRKRIP1,141.0
ORAI2,193.0
ALKBH4,114.0
LRWD1,81.0
POLR2J,618.0
RASA4B,16.0
POLR2J3,2050.0
RASA4,136.0
UPK3BL,6.0
POLR2J2,317.0
FAM185A,25.0
FBXL13,8.0
ARMC10,261.0
NAPEPLD,147.0
PMPCB,417.0
DNAJC2,319.0
PSMC2,365.0
ORC5,63.0
LINC01004,5.0
KMT2E-AS1,73.0
KMT2E,1336.0
CTB-152G17.6,33.0
SRPK2,323.0
PUS7,18.0
RINT1,59.0
RP11-251G23.5,4.0
ATXN7L1,67.0
CDHR3,26.0
SYPL1,578.0
NAMPT,124.0
CCDC71L,30.0
PIK3CG,44.0
HBP1,356.0
COG5,104.0
DUS4L,42.0
RP4-593H12.1,2.0
BCAP29,61.0
SLC26A4,4.0
AC002467.7,20.0
CBLL1,134.0
DLD,175.0
LAMB1,36.0
CTB-13F3.1,2.0
NRCAM,1.0
PNPLA8,181.0
THAP5,230.0
DNAJB9,334.0
IMMP2L,51.0
LRRN3,1105.0
DOCK4,2.0
ZNF277,232.0
IFRD1,212.0
LSMEM1,3.0
TMEM168,106.0
C7orf60,44.0
LINC00998,236.0
MDFIC,149.0
TES,333.0
CAPZA2,540.0
ST7,7.0
LSM8,637.0
ING3,139.0
FAM3C,134.0
AASS,10.0
NDUFA5,655.0
ASB15,3.0
WASL,46.0
RP11-390E23.6,35.0
POT1,38.0
POT1-AS1,45.0
ZNF800,322.0
GCC1,72.0
ARF5,451.0
FSCN3,8.0
SND1,230.0
SND1-IT1,65.0
RBM28,108.0
IMPDH1,75.0
HILPDA,36.0
METTL2B,129.0
RP11-212P7.2,58.0
RP11-274B21.10,15.0
FAM71F2,9.0
CALU,109.0
CCDC136,13.0
KCP,17.0
ATP6V1F,878.0
IRF5,3.0
TNPO3,153.0
TSPAN33,3.0
AHCYL2,14.0
STRIP2,3.0
SMKR1,12.0
RP11-448A19.1,36.0
NRF1,101.0
UBE2H,146.0
RP11-306G20.1,15.0
ZC3HC1,57.0
KLHDC10,51.0
RP11-775D22.2,8.0
TMEM209,110.0
CPA5,16.0
CEP41,66.0
MEST,15.0
RP11-2E11.6,3.0
COPG2,41.0
TSGA13,3.0
AC016831.7,316.0
AC058791.1,51.0
RP11-138A9.1,503.0
RP11-138A9.2,492.0
LINC-PINT,340.0
MKLN1,129.0
CHCHD3,148.0
EXOC4,137.0
SLC35B4,55.0
AKR1B1,615.0
BPGM,145.0
CALD1,7.0
AGBL3,13.0
C7orf49,132.0
TMEM140,75.0
RP11-134L10.1,6.0
WDR91,40.0
CNOT4,363.0
NUP205,36.0
C7orf73,414.0
SLC13A4,5.0
RP11-644N4.1,3.0
AC015987.1,7.0
MTPN,293.0
AC009784.3,2.0
AC090498.1,10512.0
CREB3L2,59.0
TRIM24,49.0
TMEM213,4.0
ZC3HAV1,686.0
TTC26,19.0
UBN2,64.0
C7orf55,288.0
LUC7L2,397.0
RP11-634H22.1,6.0
HIPK2,107.0
TBXAS1,10.0
PARP12,59.0
KDM7A,125.0
JHDM1D-AS1,51.0
SLC37A3,99.0
MKRN1,513.0
DENND2A,6.0
ADCK2,63.0
NDUFB2,1257.0
NDUFB2-AS1,10.0
BRAF,64.0
MRPS33,566.0
AGK,44.0
RP5-894A10.2,48.0
KIAA1147,73.0
SSBP1,1187.0
TAS2R4,32.0
TRBV2,2.0
TRBV3-1,9.0
TRBV5-1,6.0
TRBV6-1,2.0
TRBV6-2,5.0
TRBV7-2,2.0
TRBV9,7.0
TRBV5-4,2.0
TRBV7-9,2.0
TRBV12-3,1.0
TRBV14,25.0
TRBV18,2.0
TRBV19,2.0
TRBV20-1,9.0
TRBV21-1,6.0
TRBV23-1,10.0
TRBV24-1,5.0
MTRNR2L6,32.0
TRBV27,4.0
TRBV28,17.0
TRBC1,4254.0
TRBV29-1,5.0
TRBC2,5693.0
EPHB6,167.0
GSTK1,1647.0
CASP2,183.0
AC093673.5,97.0
ZYX,261.0
EPHA1,38.0
EPHA1-AS1,70.0
TCAF2,71.0
TCAF1,43.0
ARHGEF35,3.0
RP4-545C24.1,5.0
OR2A1-AS1,31.0
ARHGEF5,9.0
TPK1,52.0
RP5-1136G13.2,12.0
CUL1,224.0
EZH2,32.0
GHET1,6.0
PDIA4,324.0
ZNF786,109.0
ZNF425,10.0
ZNF398,64.0
ZNF282,13.0
ZNF212,60.0
ZNF783,63.0
ZNF777,15.0
ZNF746,33.0
KRBA1,29.0
ZNF467,17.0
ZNF862,27.0
ATP6V0E2-AS1,37.0
ATP6V0E2,338.0
RP11-728K20.3,6.0
ACTR3C,16.0
LRRC61,53.0
ZBED6CL,23.0
REPIN1,186.0
ZNF775,21.0
RP11-511P7.5,120.0
LINC00996,3.0
GIMAP8,132.0
GIMAP7,5047.0
GIMAP4,2138.0
GIMAP6,376.0
GIMAP2,891.0
GIMAP1,1453.0
GIMAP5,247.0
KCNH2,10.0
NOS3,2.0
ATG9B,65.0
ABCB8,88.0
ASIC3,1.0
CDK5,51.0
SLC4A2,43.0
FASTK,262.0
TMUB1,284.0
AGAP3,22.0
ABCF2,153.0
CHPF2,71.0
SMARCD3,12.0
RP4-548D19.3,14.0
NUB1,355.0
CRYGN,3.0
RHEB,530.0
PRKAG2,271.0
PRKAG2-AS1,87.0
GALNT11,139.0
KMT2C,241.0
LINC01003,116.0
XRCC2,14.0
ACTR3B,35.0
PAXIP1-AS2,73.0
PAXIP1,42.0
RP11-5C23.1,16.0
RP11-5C23.2,3.0
PAXIP1-AS1,195.0
AC144652.1,5.0
INSIG1,154.0
AC009403.2,98.0
RBM33,184.0
LINC01006,11.0
LMBR1,40.0
NOM1,132.0
UBE3C,77.0
DNAJB6,827.0
PTPRN2,31.0
NCAPG2,17.0
ESYT2,128.0
WDR60,115.0
PLCXD1,31.0
GTPBP6,268.0
LINC00685,362.0
PPP2R3B,36.0
RP11-309M23.1,4.0
CSF2RA,3.0
IL3RA,4.0
SLC25A6,5704.0
LINC00106,5.0
ASMTL-AS1,3.0
ASMTL,141.0
P2RY8,435.0
AKAP17A,368.0
RP13-297E16.4,4.0
DHRSX,52.0
ZBED1,129.0
LINC00102,4.0
CD99,1011.0
ARSD,3.0
PRKX,164.0
RP11-706O15.1,67.0
RP11-706O15.3,64.0
RP11-706O15.7,6.0
PUDP,32.0
STS,1.0
PNPLA4,49.0
FAM9B,4.0
TBL1X,132.0
WWC3,49.0
WWC3-AS1,2.0
RP11-120D5.1,3.0
HCCS,102.0
MSL3,399.0
PRPS2,138.0
TMSB4X,76538.0
FAM9C,4.0
TCEANC,52.0
RAB9A,149.0
TRAPPC2,205.0
OFD1,678.0
GPM6B,233.0
GEMIN8,43.0
FANCB,12.0
MOSPD2,58.0
ASB9,3.0
ASB11,4.0
PIGA,24.0
PIR,2.0
TMEM27,3.0
CA5B,100.0
INE2,3.0
ZRSR2,178.0
AP1S2,369.0
CTPS2,7.0
SYAP1,189.0
TXLNG,183.0
RBBP7,343.0
SCML1,167.0
RAI2,12.0
SCML2,4.0
CDKL5,9.0
PHKA2,48.0
PDHA1,196.0
MAP3K15,2.0
SH3KBP1,583.0
CXorf23,27.0
EIF1AX,758.0
RPS6KA3,194.0
CNKSR2,41.0
KLHL34,36.0
MBTPS2,22.0
YY2,6.0
SMS,209.0
PHEX,1.0
PRDX4,126.0
ACOT9,47.0
SAT1,513.0
APOO,37.0
CXorf58,2.0
KLHL15,8.0
EIF2S3,1514.0
ZFX,164.0
PDK3,75.0
POLA1,4.0
CXorf21,23.0
GK,13.0
TAB3,30.0
DYNLT3,416.0
RPGR,67.0
TSPAN7,3.0
MID1IP1,460.0
LINC01281,17.0
BCOR,61.0
ATP6AP2,585.0
CXorf38,113.0
MED14,42.0
MED14OS,5.0
USP9X,148.0
DDX3X,443.0
CASK,24.0
GPR82,175.0
FUNDC1,121.0
KDM6A,46.0
LINC01204,3.0
MIR222HG,2.0
KRBOX4,71.0
ZNF674,17.0
ZNF674-AS1,35.0
CHST7,26.0
SLC9A7,7.0
RP2,20.0
NDUFB11,1380.0
RBM10,167.0
UBA1,148.0
CDK16,39.0
USP11,248.0
ZNF157,1.0
ZNF41,22.0
LINC01560,64.0
ARAF,143.0
TIMP1,673.0
CFP,113.0
ELK1,63.0
UXT,2127.0
ZNF81,10.0
ZNF182,47.0
ZNF630,8.0
SLC38A5,28.0
FTSJ1,87.0
AF196972.9,10.0
PORCN,35.0
EBP,228.0
TBC1D25,56.0
RP11-1148L6.9,2.0
RBM3,967.0
WDR13,112.0
WAS,471.0
SUV39H1,37.0
HDAC6,74.0
PCSK1N,75.0
TIMM17B,308.0
PQBP1,441.0
SLC35A2,44.0
PIM2,281.0
OTUD5,173.0
GRIPAP1,198.0
TFE3,66.0
CCDC120,21.0
PRAF2,203.0
WDR45,182.0
GPKOW,90.0
MAGIX,17.0
PLP2,643.0
PRICKLE3,9.0
SYP,14.0
CACNA1F,1.0
CCDC22,109.0
FOXP3,3.0
PPP1R3F,42.0
LL0XNC01-7P3.1,8.0
USP27X-AS1,1.0
USP27X,24.0
CLCN5,8.0
RP11-348F1.3,3.0
RP11-348F1.2,3.0
NUDT11,3.0
GSPT2,74.0
MAGED1,38.0
TSPYL2,312.0
KANTR,2.0
RP11-258C19.7,34.0
KDM5C,76.0
IQSEC2,1.0
SMC1A,209.0
RIBC1,4.0
HSD17B10,327.0
HUWE1,151.0
PHF8,58.0
FAM120C,23.0
WNK3,7.0
TSR2,348.0
GNL3L,95.0
MAGED2,646.0
TRO,6.0
APEX2,97.0
FAM104B,79.0
MTRNR2L10,11.0
PAGE5,2.0
MAGEH1,264.0
USP51,59.0
RRAGB,37.0
RP13-188A5.1,12.0
UBQLN2,502.0
LINC01420,470.0
SPIN3,14.0
SPIN2B,101.0
SPIN2A,5.0
FAAH2,29.0
ZXDB,21.0
ZXDA,13.0
SPIN4,9.0
ARHGEF9,89.0
AMER1,6.0
MTMR8,10.0
ZC4H2,48.0
ZC3H12B,7.0
LAS1L,139.0
MSN,672.0
RP6-159A1.4,5.0
EDA2R,7.0
YIPF6,145.0
EFNB1,19.0
PJA1,83.0
EDA,18.0
OTUD6A,2.0
IGBP1,1054.0
PDZD11,75.0
DLG3,8.0
SNX12,70.0
FOXO4,15.0
CXorf65,15.0
IL2RG,1436.0
MED12,74.0
NLGN3,5.0
RP5-1091N2.9,16.0
ZMYM3,41.0
NONO,760.0
TAF1,105.0
OGT,261.0
ACRC,13.0
CXCR3,53.0
LINC00891,34.0
NHSL2,1026.0
RGAG4,2.0
PIN4,333.0
RPS4X,42685.0
HDAC8,48.0
NAP1L6,6.0
NAP1L2,57.0
CHIC1,16.0
TSIX,6.0
JPX,163.0
RP13-216E22.4,2.0
FTX,422.0
RLIM,59.0
KIAA2022,11.0
ABCB7,95.0
UPRT,66.0
ZDHHC15,6.0
PBDC1,213.0
MAGEE1,31.0
ATRX,914.0
MAGT1,104.0
COX7B,1488.0
ATP7A,25.0
PGK1,1000.0
TAF9B,113.0
CYSLTR1,301.0
P2RY10,159.0
GPR174,2.0
ITM2A,859.0
BRWD3,37.0
HMGN5,63.0
SH3BGRL,681.0
APOOL,52.0
ZNF711,6.0
CHM,78.0
PCDH11X,5.0
NAP1L3,49.0
FAM133A,1.0
DIAPH2,57.0
RPA4,6.0
TSPAN6,11.0
SYTL4,4.0
CSTF2,35.0
TRMT2B,92.0
CENPI,3.0
TIMM8A,67.0
RPL36A,13463.0
GLA,46.0
HNRNPH2,368.0
ARMCX4,20.0
ARMCX1,10.0
ARMCX6,155.0
ARMCX3,287.0
ARMCX2,25.0
ZMAT1,90.0
TCEAL2,15.0
BEX5,118.0
ARMCX5,78.0
GPRASP1,80.0
GPRASP2,8.0
BHLHB9,7.0
LINC00630,1.0
LL0XNC01-237H1.2,2.0
BEX1,5.0
BEX4,520.0
TCEAL8,452.0
BEX2,554.0
WBP5,69.0
NGFRAP1,908.0
TCEAL4,197.0
TCEAL3,97.0
TCEAL1,129.0
MORF4L2,389.0
MORF4L2-AS1,24.0
RAB9B,5.0
TMSB15B,5.0
RP11-722G7.1,15.0
SLC25A53,53.0
ZCCHC18,7.0
FAM199X,65.0
CXorf57,12.0
TBC1D8B,7.0
MORC4,61.0
RBM41,117.0
NUP62CL,5.0
PIH1D3,3.0
PRPS1,257.0
TSC22D3,434.0
MID2,10.0
VSIG1,93.0
PSMD10,120.0
ATG4A,44.0
NXT2,42.0
ACSL4,37.0
TMEM164,12.0
AMMECR1,93.0
PAK3,2.0
ALG13,170.0
AMOT,1.0
WDR44,38.0
DOCK11,159.0
LINC01285,9.0
LONRF3,8.0
PGRMC1,93.0
SLC25A43,11.0
SLC25A5,1123.0
CXorf56,84.0
UBE2A,263.0
NKRF,49.0
SEPT6,1454.0
SOWAHD,10.0
RPL39,64907.0
UPF3B,321.0
RNF113A,359.0
NDUFA1,1797.0
NKAP,356.0
ZBTB33,44.0
TMEM255A,4.0
LAMP2,175.0
CUL4B,88.0
MCTS1,215.0
C1GALT1C1,124.0
THOC2,370.0
XIAP,228.0
RP1-315G1.3,2.0
STAG2,407.0
SH2D1A,422.0
TENM1,12.0
SMARCA1,10.0
OCRL,3.0
SASH3,217.0
ZDHHC9,15.0
UTP14A,92.0
